"Genotype","Treatment","Time","emmean","SE","df","lower.CL","upper.CL"
"Col-0","U","Day 5",56.6614499999998,7.99778727808862,342,40.9304050934174,72.3924949065822
"rhe1","U","Day 5",81.94825,7.99778727808861,342,66.2172050934176,97.6792949065824
"Col-0","M","Day 5",81.6583500000001,7.99778727808857,342,65.9273050934178,97.3893949065824
"rhe1","M","Day 5",281.864,7.99778727808857,342,266.132955093418,297.595044906582
"Col-0","L","Day 5",75.1955500000001,7.99778727808856,342,59.4645050934178,90.9265949065824
"rhe1","L","Day 5",85.8313500000001,7.99778727808857,342,70.1003050934178,101.562394906582
"Col-0","U","Day 7",87.1390499999997,7.99778727808856,342,71.4080050934174,102.870094906582
"rhe1","U","Day 7",87.0837499999998,7.99778727808857,342,71.3527050934175,102.814794906582
"Col-0","M","Day 7",205.1708,7.99778727808858,342,189.439755093418,220.901844906582
"rhe1","M","Day 7",323.2788,7.99778727808858,342,307.547755093417,339.009844906582
"Col-0","L","Day 7",66.7398499999997,7.99778727808857,342,51.0088050934174,82.470894906582
"rhe1","L","Day 7",86.2784499999999,7.99778727808858,342,70.5474050934175,102.009494906582
"Col-0","U","Day 9",94.7927999999999,7.99778727808856,342,79.0617550934176,110.523844906582
"rhe1","U","Day 9",85.6237,7.99778727808858,342,69.8926550934177,101.354744906582
"Col-0","M","Day 9",280.77915,7.99778727808858,342,265.048105093417,296.510194906582
"rhe1","M","Day 9",351.126349999999,7.99778727808858,342,335.395305093417,366.857394906582
"Col-0","L","Day 9",71.5978,7.99778727808858,342,55.8667550934176,87.3288449065823
"rhe1","L","Day 9",70.74835,7.99778727808857,342,55.0173050934177,86.4793949065823
